Question,Answer,Explanation
"A 54-year-old man was recently diagnosed with a pro - voked popliteal RLE DVT at the end of a prolonged  hospital course for cellulitis. His past medical history Coagulation 260 consists of ischemic cardiomyopathy with an EF of 40%,  chronic kidney disease with a CrCl of 40 mL/min, and  hypertension on metoprolol. His appetite is poor, and he  is frequently on and off antibiotics. He is otherwise ready  to go home today and is anxious for discharge. He would  like to avoid injectable medications and to be discharged  as soon as possible. He is currently on no medications  that would interact with warfarin or any of the new oral  anticoagulants.     Which of the following anticoagulants do you recom - mend",C,"The American College of Physicians has produced evi dence based guidelines for anticoagulation in many clini cal situations, including for pregnant women with throm bophilia, but no prior thrombotic history. In pregnant women with a weak thrombophilic mutation, such as heterozygosity for the prothrombin gene mutation, and no prior or family history, only clinical surveillance is rec ommended (choice A). In pregnant women with no prior thrombotic history, but a positive family history, postpar tum prophylaxis is recommended (choice C). In pregnant women known to be homozygous for the factor V Leiden or prothrombin 20210 mutation with a family history of thrombosis, antepartum prophylaxis with postpartum prophylaxis or intermediate dose anticoagulation has been recommended (choices B and E). Treatment doses of anticoagulation antepartum and postpartum are gener ally not recommended in the absence of prior thrombosis (choice D)."
"3 kg/m2, and an erythematous and swollen  right leg. A D-dimer was performed and noted to be  markedly elevated, prompting her referral to the emer - gency room. Once there, an ultrasound was performed  that showed the presence of a right popliteal DVT extend - ing into the trifurcation. She was instructed to stop her  estrogens and therapeutic anticoagulation with a low- molecular-weight heparin was initiated. Due to issues  with her insurance, she was bridged to warfarin, which  she has remained upon for the last 4 months without any  hemorrhagic complications. Review of the entirety of her  PT/INR values show that she has remained within the  therapeutic range.     Which of the following should be recommended",B,"The choice of a proper anticoagulant is very complex and depends on patient factors, patient preferences, as well as health care and social constraints. This patient has a com plex history and multiple comorbidities, including poor appetite, heart failure, and CKD. In addition, he is request ing prompt discharge and no injectable anticoagulants. Apixiban would be the best of the choices listed, as it has the least renal clearance and is approved as initial therapy for VTE without need for an initial parenteral agent (choice B). Warfarin use would be difficult with his poor diet and frequent antibiotic use (choice A). The FDA approved in dications for dabigatran and edoxaban require treatment with a parenteral anticoagulant for 5–7 days prior to their introduction, based on the design of clinical trials leading to approval. Thus in this patient who requests discharge as soon as possible, neither of these agents would be the best choice (choices C and D). In addition, dabigatran has sig nificant renal clearance and therefore would again not be the best choice. Fondaparinux is an injectable agent and is also cleared renally, so would not be the best choice in this case (choice E)."
"The patient is a 39-year-old woman, with no significant  past medical history and on no medications, developed  vague right upper quadrant pain over the course of a  week. Her symptoms progressed to include malaise, ano - rexia, abdominal distention, and scleral icterus. She pre - sented to the emergency room, where marked transamini - tis and hyperbilirubinemia was noted. She was admitted  to medicine, where a full workup ensued, including Dop - pler ultrasound of her liver. This was significant for he - patic vein thrombosis in the absence of collateral forma - tion, prompting initiation of therapeutic anticoagulation  with unfractionated heparin. Hematology is called for a  hypercoagulable evaluation.     Which of the following is the most appropriate test to send",A,"Based upon her history, this patient’s thrombotic event was clearly provoked by the initiation of exogenous es trogens, further exacerbated by her age, morbid obesity, and use of tobacco. As a result, only 3 months of thera peutic anticoagulation is indicated. There is no indication for continuing with warfarin or transitioning to another anticoagulant. While the PREVENT trial, which used an INR range of 1.5–2.0, showed a reduction of recurrent ve nous thrombosis without an increase of bleeding, a larger and somewhat better designed study (ELATE) showed a higher rate of recurrence with no decrease in hemorrhage in the lower INR range cohort versus standard range. Thus the lower INR range is accompa nied by the same risks as standard therapy, but without the benefits. The use of a low dose direct oral anticoagulant for the prevention of recurrent venous thromboembolism is (currently) FDA approved in patients with idiopathic VTE. As her DVT was clearly provoked, there is no indi cation for continued treatment."
"A 56-year-old man is admitted for additional treatment  of a pulmonary embolism. He was in his usual state of  good, having recently flown from Munich to Chicago,  when he developed progressive right-sided pleuritic  chest pain over the course of 2 days. He presented to  the ER, where a CT angiogram showed the presence of  extensive right main and upper lobar pulmonary artery  thrombus, with opacities in the right upper lung concern - ing for infarction, with radiographic findings of right  heart strain. The patient is admitted to the MICU, where  an emergent transthoracic echocardiogram showed no  evidence of right heart failure, with normal right ven - tricular pressures. Two sets of Troponin-I are negative  for cardiac injury, and he remains hemodynamically sta - ble, requiring only 2 L of supplemental oxygen via na - sal cannula. At the same time, bilateral lower extremity  ultrasound is performed, showing occlusive thrombus  from the left common femoral to popliteal vein, becom - ing nonocclusive in the trifurcation and extending into  one of the paired tibial veins.      Which of the following is the most appropriate manage - ment at this time",C,"In general, there is a very limited utility in performing thrombophilia evaluations, particularly in the in patient and acute setting. However, there are particular instances where a deliberate evaluation for underlying thrombo philia may be useful. Specifically, in a patient with an abdominal vein thrombosis in the absence of other overt provocative events (surgery, injury, malignancy, etc.), test ing for the presence of the JAK2 V617F mutation is indi cated, as this is commonly found. It is not uncommon for Coagulation 283 thrombotic manifestations to precede the development of polycythemia or thrombocytosis. The other hyperco agulable states are much less frequently associated with the Budd Chiari syndrome and can be falsely positive if the patient is on anticoagulation or has just had a recent thrombosis."
"400). A  serotonin release assay was ordered, but was not collect - ed. He was empirically placed on a bivalirudin infusion  and bridged to warfarin after his platelet count remained  greater than 150 for 2 days, which he remained upon since  that time.      While there have been no hemorrhagic complications  from the use of his warfarin, he has developed progres - sive dyspnea on exertion and was sent to the cardiovas - cular surgery clinic for an evaluation for mitral valve re - placement. Given his comorbidities, it was not felt that he  was an appropriate candidate for either a percutaneous  or minimally invasive laparoscopic approach for repair of  his valve. It was recommended that he undergo an open  mitral valve replacement with a mechanical valve on by - pass. Due to his history, Mr. Thomas has been sent to the  Hematology Clinic for recommendations regarding his  use of warfarin and his prior exposure to heparin.Coagulation 261      As his planned surgical date is a month away, which of  the following is the most appropriate recommendation:  ",A,"While the use of unfractionated heparin would be accept able, concurrent administration with antiplatelet therapy is not indicated. Since the patient is without any objective finding of either hemodynamic compromise or severe limb dysfunction, the use of thrombolytics is not warrant ed. As for the placement of a filter, there is no contraindi cation to anticoagulation. In addition, while the presence of a DVT in the setting of “submassive” PE has been used as a justification for filter placement, in a randomized prospective clinical trial, compared with anticoagulation alone, placement of a retrievable inferior vena cava filter for 3 months in addition to anticoagulation provided no benefit in terms of pulmonary embolism recurrence or mortality in patients presenting acute symptomatic pul monary embolism."
278 OD.      Which of the following is the most appropriate recom - mendation,A,"While it is unclear if this was truly a case of heparin induced thrombocytopenia, given the lack of reported thrombosis, only 4 weeks of anticoagulation is recom mended, with 3 months in total if there was a thrombosis. As such, the patient has received more than an adequate course of anticoagulation. For this reason there is no indi cation to either continue or transition to a higher target/ range of warfarin, regardless of what type of valve he is to receive, especially as this will have to stopped prior to surgery. The use of any direct oral anticoagulant is contrain dicated in patients with mechanical heart valves. It was observed in the RE ALIGN trial that the use of dabigatran led to a higher rate of bleeding and thrombosis, leading to the trial’s early discontinuation."
"A 43-year-old woman was diagnosed with a left leg DVT  4 months ago. She was seen at her local ER and started  on rivaroxaban, 15 mg twice daily for 21 days, followed  by 20 mg daily, which she has remained upon without  any hemorrhagic complications. Due to a reported fam - ily history of thrombosis, she underwent a thrombophilia  evaluation through her primary care physician, which  showed the following results",B,"Since the measured heparin/PF4 antibody has decayed to normal, the short term use of heparin for cardiac surgery is recommended. It has been observed that the intraop erative use of heparin is associated with a low risk of HIT, but can increase if used postoperatively. As warfarin will be necessary, bridging with an alternative agent is neces sary. Therefore the postoperative use of heparin or enoxa parin would not be recommended. While some centers will use a direct thrombin inhibi tor for anticoagulation while on bypass, the recommend ed INR target is 3.0, range 2.5–3.5, for a mechanical mitral valve."
8 Lupus anticoagulant Not detected ACA and anti-B2GP1 IgA/IgG/IgM Negative  Which of the following is the most appropriate recom- mendation,E,"While the direct oral anticoagulants are characterized by the lack of need of monitoring their anticoagulant effect, nonetheless, all of these agents exert an effect on many tests of hemostasis. Specifically in this case, the elevated values of protein C and S can be seen in clot based assays, whereas LA panels that employ the use of the chromog enic Xa based assays are particularly affected by the pres ence of an oral Xa inhibitor. Even though a lupus anticoagulant is “present,” (1) the presence of rivaroxaban confounds this diagnosis, and (2) the presence of an antiphospholipid antibody, such as a lupus anticoagulant, must be present after 12 weeks. The presence of a lupus anticoagulant can lead to a positive APCR assay, in the absence of factor V Leiden. However, this would not account for the elevated protein C and S levels, and as noted previously, it is far more like ly that an effect from rivaroxaban is being observed."
"2) ACA and anti-B2GP1 IgA/IgG/IgM negative FVIII 137% FIX 89% FXI 104%      Based upon her testing, which of the following recom - mendation is most appropriate",A,"Among the many changes that occur in pregnancy, it is well established that protein S activity levels fall below normal by the first trimester, with the majority of preg nant patients having below normal levels by the third tri mester. Thus there are no indications to provide any addi tional anticoagulation now or in the postpartum period. She had a line associated superficial vein thrombosis that does not require further anticoagulation, either therapeu tically or prophylactically."
1 sec ACA and anti-B2GP1 IgA/  IgG/IgMNegative FVIII 256%      Which of the following is the most appropriate recom - mendation at this time,A,"This is the standard recommendation for postoperative thromboprophylaxis following a total knee replacement. The patient has a lupus anticoagulant, as there is (1) the prolongation of a phospholipid dependent clot ting assay; (2) this is not overcome with mixing; (3) it shows phospholipid dependence; and (4) there is no specific factor inhibitor. However, she does not fulfill the criteria for antiphospholipid syndrome, as there are no clinical criteria to accompany the LA, such as re current pregnancy loss or documented thrombosis. As such, the empiric initiation of any treatment, be it an anticoagulant, antithrombotic, or antirheumatic thera py, is not indicated."
"A 34-year-old woman has been on combined oral con - traceptive therapy for 7 years following the birth of her  second child. She recently injured her ankle in a skiing  accident, for which she was placed in a cast. Two weeks  later, she was noted to have sustained thrombosis of  one of her paired tibial veins and a peroneal vein. No  proximal DVT was noted. She was started on enoxapa - rin, but her OB/gyn was concerned for thrombophilia  to explain the thrombosis, as she had been on estro - gens for years without any prior problems. This was  significant for showing heterozygosity for the C677T  mutation in MTHFR.  The OB/gyn has recommended  stopping her estrogen, started folate/B-vitamin sup - plementation, and indefinite anticoagulation. In addi - tion, she has been sent to hematology for evaluation  and treatment of her inherited thrombophilia.      Which of the following is the most appropriate recom - mendation at this time",C,"The abnormal thrombin time is indicative of either a thrombin inhibitor (such as heparin or dabigatran, not the oral Xa inhibitors such as apixaban) or a disorder of fibrinogen. In the case of a patient with both throm botic and hemorrhagic manifestations, the presence of a dysfibrinogenemia should be suspected. Reptilase is snake venom that is insensitive to the presence of hepa rin, and the reptilase time is abnormal in the setting of a dysfibrinogenemia. If the reptilase assay is abnormal, this is highly suggestive of a dysfibrinogenemia, fol lowing which a fibrinogen antigen:activity ratio should be obtained. While an elevated FVIII level is observed and has been associated with thrombotic events, it is also an acute phase reactant. Furthermore, there are no known F8 sequence changes that are associated with elevated levels. Performing a lupus anticoagulant evaluation, as well as clot based protein C and S assays, are bound to be con founded by the presence of apixaban, and should not be performed."
14 .      Which of the following is the most important next step,D,"With respect to the heterozygosity for the MTHFR C677T polymorphism, at best, it can be said there is conflicting data on its relevance to thrombosis. However, it is widely felt that there is no relation of this polymorphism to cardi ovascular events, is not associated with venous thrombo sis, and that supplementation with folate/B6 compounds does nothing to alter future events. Her thrombosis was distal and provoked, which provides no justification for prolonged anticoagulation.Coagulation 284"
A 35-year-old woman develops an acute superficial femo - ral vein thrombosis 3 days after undergoing a hysterec - tomy for uterine fibroids. She has no prior personal or  family history of thrombosis. She is initially started on  weight-based low-molecular-weight heparin and tran - sitioned to a direct oral anticoagulant of discharge. She  comes to see you in clinic 2 weeks later for recommenda - tions on length of anticoagulation. Her physical exam and  laboratory results are normal.     What is the most appropriate recommendation for dura - tion of anticoagulation,C,"Heparin induced thrombocytopenia (HIT) is a unique cause of thrombocytopenia that is associated with throm bosis rather than bleeding. HIT should be considered for patients who have been exposed to heparin in the pre vious 100 days and in whom thrombocytopenia has de veloped, especially thrombocytopenia associated with thrombosis, as is suggested by this patient’s leg exam. The pathophysiology of HIT is characterized by autoanti bodies that develop against complexes of platelet factor 4 (PF4) with heparin. HIT generally occurs 5–10 days after heparin exposure, but can occur within 24 hours if there is a history of recent (<30 days) heparin exposure. The like lihood of HIT can be calculated using the 4T score. This patient has a high pretest probability based on a platelet count of at least 20 × 109/L and a 50% decline from base line, clear onset of 5–10 days, and no apparent other cause for the thrombocytopenia. If he is diagnosed with a DVT based on his leg symptoms, this would further increase the likelihood of HIT. The first and most important man agement step is discontinuation of all heparin products, including intravenous or subcutaneous forms or flushes. While heparin associated antibody testing (initially using the immunologic assay and subsequently the functional assay to confirm the diagnosis) can help confirm the di agnosis, the results can take several days to return. In the meantime, appropriate management should not be with held. Oral steroids such as prednisone is used for patients suspected of having immune thrombocytopenia, but does not have a role in the management of HIT. Platelet transfu sions are a relative contraindicated in HIT, and their use is debated."
0 s 11–15 s Activated  partial   thromboplastin  time (aPTT)29 s 31 s 29–36 s Fibrinogen Not available 200 mg/dL 150–450 mg/ dLCoagulation 263     Which of the following is the most appropriate recom - mendation for the duration of anticoagulation,B,"This patient has a clearly provoked venous thromboem bolism (VTE), the major risk factor being pelvic surgery. VTE recurrence risk is highly dependent on the scenario in which the VTE occurred. Patients with a provoked VTE (e.g., by surgery, trauma, prolonged immobility) should be treated with 3 months of anticoagulation, since the recurrence risk is very low compared with unprovoked VTE (recurrence risk is ∼1%–7% compared with 20% at 2 years). Studies have shown that treatment for less than 3 months leads to increased recurrence rates after stopping anticoagulation. Conversely, treat ment for periods longer than 3 months (e.g., 6 months, 12 months, 24 months) does not decrease the recurrence risk once anticoagulation is stopped. Since male patients with an unprovoked VTE (or those with provoked VTE due to a persistent risk factor such as cancer) have a high risk of VTE recurrence, these patients should be offered indefinite anticoagulation. The duration of anticoagula tion for female patients with a first unprovoked VTE is still controversial."
0). He is not on an antiplatelet agent.     Which of the following is the best recommendation for  perioperative management of warfarin,A,"Thrombophilia testing is not indicated in adult patients with a clearly provoked VTE (e.g., VTE after surgery, trauma, or prolonged immobility). Thrombophilia test ing can result in harm if the duration of anticoagulation is inappropriately prolonged—for example, when a patient is mislabeled as having a thrombophilia. Further, nega tive thrombophilia testing could be misinterpreted to suggest a patient dies not have a risk of recurrent throm bosis leading to premature cessation of anticoagulation. Finally, thrombophilia testing is expensive. For VTE oc curring in the setting of a major transient risk factor, such as this patient, thrombophilia testing should not impact decisions on length of anticoagulant therapy. Instead, this patient should receive 3 months of anticoagulation due to the provoked nature of this VTE. The patient does not have protein S or protein C deficiency; rather, she has low protein C and protein S activities, as expected on warfarin therapy. This highlights the fact that if throm bophilia testing is undertaken, clinicians must be aware of scenarios in which thrombophilia results may be inac curate or misleading. Heterozygous FVL mutation does not significantly increase the risk of VTE recurrence and therefore should not impact length of anticoagulation in this patient."
A 64-year-old man is admitted for scheduled total hip ar - throplasty for severe osteoarthritis. He has no personal or  family history of venous thromboembolism (VTE). There  is no evidence of bleeding.     Which of the following is the most appropriate recom - mendation for VTE prophylaxis,C,"This patient has a CHADS 2 score (for atrial fibrillation risk of stroke) of 5 (age of at least 75 years, diabetes, hypertension, and history of stroke), which places him at high risk for recurrent thromboembolic event. At the same time, he is undergoing a colonoscopy, which has a low risk of bleeding. Until recently, most patients in this scenario were thought to benefit from bridging anticoag ulation perioperatively by minimizing the risk of throm boembolism without increasing the risk of perioperative bleeding. The recent BRIDGE trial evaluated the need for bridging anticoagulation with LMWH in patients with atrial fibrillation that required warfarin interruption for a procedure or surgery. Patients were randomized to re ceive LMWH bridging or no bridging. LMWH or match ing placebo was administered 3 days before the proce dure until 24 hours before the procedure and then for 5–10 days after the procedure. Warfarin treatment was stopped 5 days before the procedure and was resumed within 24 hours after the procedure. This study found that forgoing bridging anticoagulation was noninferior to perioperative bridging with LMWH for the prevention of arterial thromboembolism and decreased the risk of ma jor bleeding."
16 .     Which of the following should be recommended at this time,B,"Patients undergoing certain orthopedic procedures such as total hip arthroplasty, total knee arthroplasty, or hip fracture surgery are at increased risk for VTE. The 2012 American College of Chest Physicians (ACCP) guide lines recommend pharmacologic prophylaxis (Grade 1B) in addition to mechanical prophylaxis in the form of IPCD (Grade 2C). Inferior vena cava filters are being used increasingly for primary prophylaxis in patients at high risk for VTE (e.g., major trauma, orthopedic sur gery, bariatric surgery, and cancer). However, this prac tice is not supported by high level evidence, is costly, and is potentially harmful to the patient. Furthermore, although these filters are inserted for temporary proph ylaxis in this setting, the filter is seldom removed in these patients. The only indication for inferior vena cava filters that has received universal agreement by leading medical professional societies is for patients with acute venous thromboembolism and contraindication to anti coagulation."
4 mg/dL (creatinine clearance  54 mL/min). On exam she is noted to be in atrial fibrilla - tion. She comes to you to discuss switching to a direct oral  anticoagulant.     Which of the following is the most appropriate recom - mendation at this point,D,"T his patient is on the anticoagulant apixaban, a direct oral factor Xa inhibitor. In patients with life threatening bleeding such as CNS bleeding, patients on this medica tion should be treated with a bypassing agent such as prothrombin complex concentrates or recombinant FVIIa. Since apixaban does not deplete but rather inhibits factor Coagulation 285 Xa, replacing factor Xa with fresh frozen plasma is not ex pected to provide hemostasis. Protamine is used for com plete reversal of unfractionated heparin or partial rever sal of low molecular weight heparin. Currently, only one true reversal agent is FDA approved for the direct oral anticoagulants. Idarucizumab is a humanized monoclo nal antibody fragment whose target is the direct thrombin inhibitor dabigatran. It is anticipated that andexanet will be approved by the FDA for reversal of apixaban and ri varoxaban, but as of September 2017, there are no FDA approved reversal agents for the direct oral factor Xa in hibitors."
"A 78-year-old man is on apixaban for nonvalvular atrial  fibrillation (CHADS score 3 based on age, hypertension,  and diabetes). He needs semielective resection of a com - plex thigh mass. The surgery is thought to be of high  bleeding risk due to vascular involvement of the mass.  He is on no other medications. His physical exam is nota - ble for atrial fibrillation and an enlarged right thigh that  is tender on palpation. Laboratory results reveal a creati - nine clearance of 52 mL/min.     Which of the following is the most appropriate preopera - tive recommendation for his anticoagulation",D,"The direct oral anticoagulants have been studied and ap proved in nonvalvular atrial fibrillation and therefore are not indicated for anticoagulation in patients with valvu lar atrial fibrillation. Further, a recent Phase II study (RE ALIGN) evaluating the efficacy and safety of dabigatran in mechanical heart valves was terminated prematurely due to increased rates of thromboembolic and bleeding complications compared with warfarin. Therefore as yet, the direct oral anticoagulants should not be used in pa tients with mechanical heart valves. With an acceptable time in therapeutic range with warfarin and no bleeding complications on warfarin, this patient should remain on warfarin."
A 24-year-old female with h/o symptomatic right ili - ofemoral deep vein thrombosis (DVT) diagnosed at  age 22 while on drospirenone/ethinyl estradiol oral  contraceptive is now 8 weeks pregnant with her first  child. She received 3 months of therapeutic anticoagu - lation for treatment of her prior DVT. Thrombophilia  workup was negative. She has no family history of  VTE.     You recommend the following for VTE prophylaxis dur - ing this pregnancy:  ,C,"Apixaban approximately 25% renally cleared. The half life of apixaban is 8–13 hours and prolonged further in renal impairment. Recommendations for cessation of the direct oral anticoagulants preoperatively are based on the pa tient’s renal function and the risk of bleeding with surgery. In this patient with mild renal insufficiency undergoing a surgery with high risk of bleeding, experts recommend stopping apixaban 72 hours prior to surgery. Because he has had no prior stroke or embolic event, does not have a known cardiac thrombus, and his CHADS2 score is less than 4, bridging anticoagulation is not required. The recent BRIDGE trial evaluated the need for bridging anticoagu lation with LMWH in patients with atrial fibrillation that required warfarin interruption for a procedure or surgery. Patients were randomized to receive LMWH bridging or no bridging. LMWH or matching placebo was adminis tered 3 days before the procedure until 24 hours before the procedure and then for 5–10 days after the procedure. War farin treatment was stopped 5 days before the procedure and was resumed within 24 hours after the procedure. This study found that forgoing bridging anticoagulation was noninferior to perioperative bridging with LMWH for the prevention of arterial thromboembolism and decreased the risk of major bleeding."
"A 26-year-old man with history of intravenous drug use is  admitted for endocarditis. He has a peripherally inserted  central catheter (PICC) for intravenous antibiotics. One  week after the PICC is inserted, he develops acute right  upper extremity swelling and pain. A Doppler ultrasound  confirms a right upper extremity deep vein thrombosis.  He is started on low-molecular-weight heparin (LMWH).  The infectious disease consult service recommends 8  weeks of intravenous antibiotics. He has had no bleed - ing side effects from LMWH. He has no prior personal or  family history of venous thromboembolism. On exam his  right upper arm is swollen, red, and tender, without signs  of limb ischemia.     You recommend:  ",B,"This patient is moderate risk for recurrent VTE during pregnancy since her first VTE was in the setting of estro gen therapy. The ACCP 2012 guidelines recommend that in patients at moderate risk for recurrent VTE (pregnan cy or estrogen related) antepartum prophylactic or in termediate dose LMWH rather than clinical surveillance be used (GRADE 2C). Further, since the postpartum pe riod is the highest risk for VTE recurrence, 6 weeks of pro phylactic or intermediate dose LWMH is recommended over no postpartum prophylaxis (GRADE 2B). Since this patient does not have an acute VTE, there is no current indication for therapeutic anticoagulation."
"4  mg/dL and platelets are 195,000 × 109/L.     What is the best lab to exclude a clinically relevant dabi - gatran level in this bleeding patient",B,"This patient has an upper extremity DVT provoked by an indwelling central catheter. The 2012 ACCP Guidelines recommend that for patients with catheter associated UEDVT and ongoing need for the catheter that is functional (in this case intravenous antibiotics for endocarditis), the catheter should not be removed (GRADE 2C). Patients with proximal UEDVT, regard less of whether catheter associated or whether catheter is removed, should receive a standard course of anti coagulation (i.e., 3 months). Since this is a provoked UEDVT and the catheter will be removed by 3 months, extended therapeutic anticoagulation beyond 3 months is not indicated (GRADE 1B). Finally, in patients with acute UEDVT that involves the axillary or more proxi mal veins, anticoagulant therapy alone over thrombol ysis is recommended (Grade 2C)."
"A 24-year-old woman presents to the emergency room  with acute onset L sided hemiplegia and facial droop  that began approximately 3 hours ago. She is found to  have an acute right middle cerebral artery stroke. She  does not receive intravenous tissue plasminogen activa - tor (tPA) because of mild thrombocytopenia of 105,000  × 109/L and her delayed presentation to the ER outside  of the therapeutic window if tP",C,"Unlike warfarin, the DOACs do not require regular monitoring. However, in specific circumstances (e.g., in this patient with life threatening bleeding), an accurate laboratory test for determining anticoagulant presence would be desired. Dabigatran is a direct oral antifactor IIa (thrombin) inhibitor. It is approved for prevention of stroke and systemic embolism in patients with nonvalvu lar atrial fibrillation among other indications. In patients with life threatening bleeding, the TT is the best test for qualitative measurement of drug activity. The TT exqui sitely sensitive to dabigatran levels and therefore should not be used for quantification of drug concentration. However, a normal TT excludes the presence of clini cally relevant drug levels, which would be helpful in this case scenario, should the patient require emergent neu rosurgery. A higher degree of linearity exists between the dilute TT with plasma dabigatran concentration across a wide range of levels; however, this test is not readily available at most institutions. The aPTT exhibits a linear dose response relationship with dabigatran levels up to 200–300 ng/mL, but flattens out at higher concentrations, thereby precluding quantitative measurement. Further, since commercial aPTT reagents differ in their sensitivity to dabigatran, the aPTT may not be prolonged, despite the presence “therapeutic” dabigatran levels (which to date have not been defined) if an insensitive reagent is used. The PT is less sensitive to dabigatran levels than the aPTT and may not be prolonged even with suprathera peutic levels of dabigatran. Since dabigatran is an antifac tor IIa inhibitor, an anti Xa activity would not be helpful."
17 .     Which of the following tests is most likely to abnormal in  this patient,B,"This young patient with a cryptogenic stroke likely has antiphospholipid syndrome (APLS), a highly throm bophilic condition associated with both venous and arterial thrombosis. The laboratory diagnosis of APLS requires on two separate occasions at least 12 weeks apart either (1) moderately to highly positive immu noglobulin G (IgG) or immunoglobulin M (IgM) anti β2 glycoprotein antibodies, (2) moderately to highly positive IgG or IgM anticardiolipin antibodies, or (3) positive lupus anticoagulant. The prolonged PTT and chronic mild thrombocytopenia also is associated with APLS. Antiphospholipid antibodies also predispose to obstetric complications. The other thrombophilias listed are typically associated with venous not arterial thrombosis. Treatment of APLS patients with a cer ebral vascular accident consists of either warfarin or Coagulation 286 aspirin therapy. The JAK2 mutation would be unlikely in the presence of thrombocytopenia and a slightly low hemoglobin, as in this case."
A 17-year-old high school student is diagnosed with a  right lower-extremity deep vein thrombosis 1 week af - ter a left ankle fracture he sustained while playing soc - cer. He has no prior history of thrombosis. His mom was  diagnosed with combined heterozygosity for prothrom - bin 20210 gene mutation and factor V Leiden after she  developed a pulmonary embolism as a teenager on oral  contraceptives. The patient’s father has a history of het - erozygous factor V Leiden. The patient’s hypercoagulable  workup revealed homozygosity for factor V Leiden. He is  started on the direct oral anticoagulant Rivaroxaban.     What is the mechanism by which factor V Leiden increas - es the risk of venous thromboembolism,C,"Factor V Leiden refers to a mutation in factor V that leads to resistance to activated protein C inactivation. This pa tient inherited one copy of the factor V Leiden allele from each parent and thus has homozygous factor V Leiden (FVL). The prevalence of homozygous FVL is in 0.1% of Caucasians. FVL homozygosity increases the risk of in cident VTE by approximately 18 fold. The risk for VTE is multiplicative with other risk factors for thrombosis. Protein C, protein S, and antithrombin deficiency are a result of a congenital or acquired deficiency in these natural anticoagulants. Disruption of annexin V shield on membranes is one mechanism of fetal loss attributed to antiphospholipid antibodies in antiphospholipid syn drome."
2 PTT 45 29–36 sCoagulation 265      What is best treatment to initiate at this time,B,"Thrombotic microangiopathy (TMA) and thrombocytope nia in a postpartum woman should trigger an investiga tion for the following syndromes: (1) hemolysis, elevated liver function tests, low platelets (HELLP) syndrome; (2) thrombotic thrombocytopenic purpura (TTP); and (3) complement mediated TMA (C TMA). This patient had normal liver function tests on presentation, making HELLP syndrome less likely. An ADAMTS 13 activity greater than 5%–10% rules out TTP . C TMA (also known as atypical hemolytic uremic syndrome) is caused by a dysregulation of the alternative complement pathway, due to an underlying mutation in the complement regu latory proteins. C TMA is usually triggered by infection, although pregnancy and more typically the postpartum state are common triggering events in women. This pa tient has several presenting features of atypical hemolytic uremic syndrome including hypertension and significant acute kidney injury in addition to the classic features of TMA and thrombocytopenia. Atypical hemolytic uremic syndrome can sometimes be distinguished from TTP based on more moderate thrombocytopenia and TMA, more severe renal injury, and inadequate response to TPE. In this patient whose clinical course worsened despite TPE, the monoclonal antibody against terminal comple ment, eculizumab, should be initiated promptly. Plate let transfusion, prednisone, and the anti CD20 antibody rituximab are not indicated in this patient with atypical hemolytic uremic syndrome."
"She was immediately  started on therapeutic unfractionated heparin and the  warfarin was stopped. Histopathologic findings on skin  biopsy revealed epidermal necrosis with evidence of fi - brin deposits in the postcapillary venules, absence of ar - teriolar thrombosis, and lack of vascular or perivascular   inflammation.     Which of the following most accurately represents the eti - ology of this patient’s skin condition",A,"Warfarin inhibits the activation of vitamin K–dependent clotting factors II, VII, IX, and X and the anticoagulant proteins C and S. In this patient with an acute DVT, war farin was started with bridging therapy, namely enoxapa rin. However, upon discharge, the patient stopped taking enoxaparin and was solely on a high starting dose of war farin therapy. The patient then presented with signs of warfarin skin necrosis, which usually occurs 3 to 5 days after drug therapy is begun. In one third of cases, warfa rin necrosis occurs in patients with an underlying, innate, and previously unknown deficiency of protein C. The breasts, buttocks, abdomen, and thighs are more susceptible probably due to reduced blood sup ply in adipose tissue. The pathophysiology of warfa rin skin necrosis is due to depletion of the natural an ticoagulant protein C before the inactivation of other vitamin K dependent procoagulant clotting factors with longer half lives. This imbalance leads to a para doxical hypercoagulable milieu in which fibrin clots in microvasculature of the skin. Treatment consists of stopping warfarin and in some cases using fresh frozen plasma or vitamin K to reverse the effects of warfarin. Therapeutic anticoagulation with a parenteral agent should be initiated promptly. Cautious reintroduc tion of warfarin can be attempted in combination with therapeutic bridging. Calciphylaxis and heparin skin necrosis can produce the same results on skin biopsy, but do not fit this clinical scenario."
"A 70-year-old woman with metastatic colon cancer pre - sents to the emergency room with severe shortness of  breath. She is receiving chemotherapy for her colon can - cer, and her last treatment was about 2 weeks ago. She is  short of breath on exam and has some difficulty speaking  in full sentences. Her oxygen saturation is 88% on room  air, and her blood pressure is 90/60 mm Hg. CT of the  chest confirms the presence of a large saddle pulmonary  embolus.     Which of the following is the most appropriate therapy at  this point",B,"This patient qualifies for thrombolytic therapy given the degree of clot burden as well as clinical symptoms to in clude hypoxia and hypotension. Of the medications list ed, only tPA works by activating plasminogen to induce plasmin action on fibrin and ultimately degrade the clot. Warfarin is contraindicated in the acute setting without co administration of an immediately acting anticoagulant such as unfractionated heparin or low molecular weight heparin. Dabigatran and apixaban could be considered following treatment with a parenteral anticoagulant; cur rent guidelines recommend initial treatment with paren teral anticoagulation in patients with acute PE. Thus aspi rin would not be adequate therapy in this setting as well."
